"brukercode","acquisition_date","acquisition_time"
"4419c7fd_4d3d_4d4f_b679_ac9d201aa7d3","2015-11-28","11:00:57"
"50f46375_184b_427f_b912_792922ee9416","2015-11-28","11:02:02"
"67d13d88_0f09_481c_aa67_155fe31e73f0","2015-11-28","11:05:45"
"72e5724f_2a27_4c0c_9b45_4ec36ddf6c53","2015-11-28","11:06:17"
"8db5606a_463c_422c_b1c5_74fbad73ed38","2015-11-28","11:03:10"
"93da7b36_c8bf_4caf_81f8_d7b5ec57818c","2015-11-28","11:05:22"
"a8e6f085_de97_418d_b4d7_5da2ae20a336","2015-11-28","11:03:41"
"a8eeb19b_f658_4cd1_b031_0657f0d70baa","2015-11-28","11:04:35"
"b1b4f210_9d94_4226_a8a0_7e1ba2ec8db4","2015-11-28","11:01:25"
"b2332ab0_5d4d_4908_b93e_7186910f4791","2015-11-28","11:04:58"
"b70d827e_0834_4e1f_971d_609cfef0129e","2015-11-28","11:04:22"
"bb6929f8_3429_4f0b_a0b9_d4c4914f356c","2015-11-28","11:01:40"
"c32e5569_0f62_4155_86ec_dc17b6bb0545","2015-11-28","11:03:54"
"d787fba1_b9ad_4b03_8bdd_2648e174c901","2015-11-28","11:03:47"
"da35008e_240e_417b_a02a_74650de7d205","2015-11-28","11:03:30"
"de01fe93_3351_4821_9da0_c087273aa255","2015-11-28","11:02:49"
"edda4d6c_f1aa_435b_83df_9c82aa73cbd5","2015-11-28","11:04:50"
"f5039ac8_2134_40f5_a0cc_a869f659872a","2015-11-28","11:03:18"
"f7379994_1476_4656_9120_b34db960c17b","2015-11-28","11:03:01"
"facbe5a7_bee1_409f_ade9_4ffd7b184f7d","2015-11-28","11:04:12"
"fcae2ebb_1031_48d0_953a_0d45dff0de68","2015-11-28","11:06:13"
"1358d604_f8f0_4488_a4d4_9f121d2959ec","2015-12-10","14:02:04"
"320b4fbe_b857_4479_aa52_7bc731317830","2015-12-10","14:02:33"
"37a88f06_bd90_49d6_9858_517873f62d8f","2015-12-10","14:01:41"
"54cb28db_478d_43a8_9f0d_d70686b6f850","2015-12-10","14:02:25"
"6c1be8d2_6a6a_4de7_b0f2_e3c314f3e373","2015-12-10","14:01:06"
"7875c0b4_b2ce_4284_807c_439e9b09324b","2015-12-10","14:01:50"
"80899298_76b2_45e1_9ea9_6c488f3208e2","2015-12-10","14:02:21"
"9a557ff0_e5e7_492a_b205_07c1bd23c160","2015-12-10","14:02:17"
"9ef958cf_1787_4c14_831e_4110a40cf017","2015-12-10","14:01:10"
"b55104fc_6d45_4c88_beda_87cee367c8b1","2015-12-10","14:01:36"
"ba70c775_95fd_4825_aac5_841de2c82205","2015-12-10","14:01:15"
"c37a231a_5f9e_4bff_b95d_8b0883492b5f","2015-12-10","14:01:28"
"d5ffc893_0bf1_44cf_8666_c499ed3889c4","2015-12-10","14:01:55"
"08c03d4d_38da_4750_ba1f_9b664f533a8a","2015-11-23","11:51:26"
"08e5d6d5_7d47_44af_9b9e_30dc6b05bd2f","2015-11-23","11:51:52"
"3e1dde3e_7217_4d2e_9d92_5386130c76fb","2015-11-23","11:51:58"
"6b586667_5df1_4878_94f0_38de409b2773","2015-11-23","11:51:11"
"b03df3b3_f9f0_414e_a493_9adbbe88fc1d","2015-11-23","11:51:35"
"b3236cba_702c_402e_ab69_f2ddd658a971","2015-11-23","11:50:48"
"b7231655_575b_4322_9827_9d10355f341d","2015-11-23","11:51:40"
"cfd7a78b_1f79_45b8_aff6_1ada7cd00ee1","2015-11-23","11:51:04"
"d6225f78_44cd_4f20_bcda_973318d58aed","2015-11-23","11:51:15"
